,semivariance,n_pairs,lag_bin,azimuth
0,0.038828464380872174,769,7.666666666666387,0.0
1,0.04490821980717049,2232,10.333333333333059,0.0
2,0.05705731979320196,709,12.999999999999728,0.0
3,0.04410537749332309,2109,15.6666666666664,0.0
4,0.0540533008441502,1339,18.333333333333073,0.0
5,0.04738975183502704,2623,20.99999999999974,0.0
6,0.056373328211799516,1315,23.666666666666412,0.0
7,0.05386787801180054,4207,26.333333333333083,0.0
8,0.0536623064556551,2285,28.999999999999755,0.0
9,0.05520682661573385,3347,31.666666666666426,0.0
10,0.05678908795816023,2625,34.3333333333331,0.0
11,0.06142065599727585,2512,36.999999999999766,0.0
12,0.06160923316527158,2616,39.66666666666644,0.0
13,0.06608327436703071,2492,42.33333333333311,0.0
14,0.06779009074804135,2814,44.99999999999978,0.0
15,0.07053768335329645,1230,47.66666666666645,0.0
16,0.07149684050899249,3328,50.33333333333312,0.0
17,0.07777335502557697,1994,52.999999999999794,0.0
18,0.07345867506464436,1950,55.666666666666465,0.0
19,0.08202804275948142,1815,58.33333333333314,0.0
20,0.0826273817015344,2653,60.99999999999981,0.0
21,0.09026629796463062,1402,63.66666666666648,0.0
22,0.0918084187771491,2597,66.33333333333314,0.0
23,0.09536783521115261,1717,68.99999999999982,0.0
24,0.09997770535756945,1954,71.66666666666649,0.0
25,0.10096687317698615,1648,74.33333333333316,0.0
26,0.10884410290110641,1533,76.99999999999983,0.0
27,0.09901519522049247,1437,79.6666666666665,0.0
28,0.1173502838244452,1138,82.33333333333317,0.0
29,0.10150666792724393,1579,84.99999999999984,0.0
30,0.10855362001610745,753,87.66666666666652,0.0
31,0.09368823915837936,989,90.33333333333319,0.0
32,0.11745569774182671,867,92.99999999999986,0.0
33,0.10659852570313955,888,95.66666666666653,0.0
34,0.1175553319700593,615,98.3333333333332,0.0
35,0.09918658335310092,508,100.99999999999987,0.0
36,0.13114211967242853,436,103.66666666666654,0.0
37,0.1126685601772817,485,106.33333333333321,0.0
38,0.1143718655426205,343,108.99999999999989,0.0
39,0.0738620513887156,220,111.66666666666656,0.0
40,0.12730922960739302,221,114.33333333333323,0.0
41,0.12079861850832369,163,116.9999999999999,0.0
42,0.10616181779871817,123,119.66666666666657,0.0
