,x,y,semivariance,n_pairs
0,-45.49999999999999,-19.5,0.0,680
1,-45.49999999999999,-18.0,0.06918070236376027,544
2,-45.49999999999999,-16.5,0.07499523967867323,1496
3,-45.49999999999999,-15.0,0.061992597451726056,952
4,-45.49999999999999,-13.5,0.019118893972565106,2312
5,-45.49999999999999,-12.0,0.023075305926642083,1360
6,-45.49999999999999,-10.5,0.04879678341769876,3128
7,-45.49999999999999,-9.0,0.07130102356473049,1768
8,-45.49999999999999,-7.5,0.09744942528117581,3944
9,-45.49999999999999,-6.0,0.10582420386807574,2176
10,-45.49999999999999,-4.5,0.1278899086099952,4760
11,-45.49999999999999,-3.0,0.17879693657184337,2584
12,-45.49999999999999,-1.5,0.23550906462306329,5576
13,-37.99999999999999,-19.5,0.023772364392516274,1120
14,-37.99999999999999,-18.0,0.23246706661438357,896
15,-37.99999999999999,-16.5,0.25544326336464845,2464
16,-37.99999999999999,-15.0,0.25805448779715473,1568
17,-37.99999999999999,-13.5,0.192635472776237,3808
18,-37.99999999999999,-12.0,0.12104880039946553,2240
19,-37.99999999999999,-10.5,0.0912914635607171,5152
20,-37.99999999999999,-9.0,0.09703040010129073,2912
21,-37.99999999999999,-7.5,0.11398495543323327,6496
22,-37.99999999999999,-6.0,0.15551964372300411,3584
23,-37.99999999999999,-4.5,0.23974462070135846,7840
24,-37.99999999999999,-3.0,0.3065248058264473,4256
25,-37.99999999999999,-1.5,0.3635715273197568,9184
26,-30.499999999999996,-19.5,0.11323360281576449,1880
27,-30.499999999999996,-18.0,0.17041645605283978,1504
28,-30.499999999999996,-16.5,0.19345555294855282,4136
29,-30.499999999999996,-15.0,0.19272605646926502,2632
30,-30.499999999999996,-13.5,0.15480496723737575,6392
31,-30.499999999999996,-12.0,0.13341900754862981,3760
32,-30.499999999999996,-10.5,0.18197376518520667,8648
33,-30.499999999999996,-9.0,0.20800734036628563,4888
34,-30.499999999999996,-7.5,0.2536566085046988,10904
35,-30.499999999999996,-6.0,0.3212035457163566,6016
36,-30.499999999999996,-4.5,0.35974838919165797,13160
37,-30.499999999999996,-3.0,0.401368361429147,7144
38,-30.499999999999996,-1.5,0.41155477403353474,15416
39,-22.999999999999996,-19.5,0.21163235013147552,2170
40,-22.999999999999996,-18.0,0.20613154847514856,1736
41,-22.999999999999996,-16.5,0.1922312847766327,4774
42,-22.999999999999996,-15.0,0.16679522008872186,3038
43,-22.999999999999996,-13.5,0.19219373923020625,7378
44,-22.999999999999996,-12.0,0.28927120070879875,4340
45,-22.999999999999996,-10.5,0.3689078016483927,9982
46,-22.999999999999996,-9.0,0.3633289919234104,5642
47,-22.999999999999996,-7.5,0.40408293193515654,12586
48,-22.999999999999996,-6.0,0.4213268041553397,6944
49,-22.999999999999996,-4.5,0.40694260542460603,15190
50,-22.999999999999996,-3.0,0.4336327031586802,8246
51,-22.999999999999996,-1.5,0.4304939488577255,17794
52,-15.5,-19.5,0.3833605132162179,3080
53,-15.5,-18.0,0.38170758723496195,2464
54,-15.5,-16.5,0.36499078637861,6776
55,-15.5,-15.0,0.304161960497868,4312
56,-15.5,-13.5,0.38653480892055475,10472
57,-15.5,-12.0,0.5052318843393159,6160
58,-15.5,-10.5,0.5319008982186324,14168
59,-15.5,-9.0,0.5204335066675849,8008
60,-15.5,-7.5,0.5177097714611502,17864
61,-15.5,-6.0,0.5028634947307029,9856
62,-15.5,-4.5,0.47563401014909007,21560
63,-15.5,-3.0,0.43695637909132123,11704
64,-15.5,-1.5,0.3916885999539064,25256
65,-8.0,-19.5,0.4744755872141431,3220
66,-8.0,-18.0,0.5433524803830287,2576
67,-8.0,-16.5,0.5757110632468749,7084
68,-8.0,-15.0,0.5856060815829994,4508
69,-8.0,-13.5,0.6129853091438937,10948
70,-8.0,-12.0,0.6806503959441973,6440
71,-8.0,-10.5,0.6937752377937508,14812
72,-8.0,-9.0,0.6608775602753011,8372
73,-8.0,-7.5,0.617329512033552,18676
74,-8.0,-6.0,0.5781132745415959,10304
75,-8.0,-4.5,0.514795949482798,22540
76,-8.0,-3.0,0.4001947932127807,12236
77,-8.0,-1.5,0.3465715858608933,26404
78,-0.5,-19.5,0.3516019298913763,4160
79,-0.5,-18.0,0.5357468901437732,3328
80,-0.5,-16.5,0.6271946153705206,9152
81,-0.5,-15.0,0.6920791577340942,5824
82,-0.5,-13.5,0.7861597211225269,14144
83,-0.5,-12.0,0.855935731694241,8320
84,-0.5,-10.5,0.8453271344654021,19136
85,-0.5,-9.0,0.7643980795549294,10816
86,-0.5,-7.5,0.6952525993091078,24128
87,-0.5,-6.0,0.611016231494661,13312
88,-0.5,-4.5,0.4958136101536072,29120
89,-0.5,-3.0,0.381799117077236,15808
90,-0.5,-1.5,0.28575207000650527,34112
91,7.0,-19.5,0.40386100596308727,3290
92,7.0,-18.0,0.6162039891058506,2632
93,7.0,-16.5,0.7043300715849612,7238
94,7.0,-15.0,0.8988823874503068,4606
95,7.0,-13.5,1.052664454526966,11186
