,distance,frac_num,height,index,name,spacing,x
0,0.0,1,0.030400000000000205,4324,scan_h_1,0.0,23.536254011520004
1,3.450105700572898,2,0.06840000000000046,31740,scan_h_1,3.450105700572898,26.986359712092902
2,4.049423685223232,3,0.04560000000000031,6659,scan_h_1,0.5993179846503338,27.585677696743236
3,10.965652463208603,4,0.049399999999998556,1307,scan_h_1,6.916228777985371,34.50190647472861
4,10.968185796541935,5,0.06080000000000041,442,scan_h_1,0.002533333333332166,34.50443980806194
5,20.68046685220128,6,0.011400000000001853,30469,scan_h_1,9.712281055659346,44.216720863721285
6,22.44997710411999,7,0.022800000000000153,6352,scan_h_1,1.7695102519187103,45.986231115639995
7,22.457586996154834,8,0.026600000000001955,3296,scan_h_1,0.007609892034842858,45.99384100767484
8,23.676107140108375,9,0.04560000000000031,16529,scan_h_1,1.2185201439535405,47.21236115162838
9,23.909735505889028,10,0.015200000000000102,14191,scan_h_1,0.23362836578065327,47.44598951740903
10,23.93070714010837,11,0.04560000000000031,3885,scan_h_1,0.020971634219343116,47.466961151628375
11,23.941900425457195,12,0.019000000000001904,9420,scan_h_1,0.011193285348824134,47.4781544369772
12,23.962587116116122,13,0.026599999999998403,19078,scan_h_1,0.02068669065892692,47.498841127636126
13,24.006842392027085,14,0.030400000000000205,14657,scan_h_1,0.04425527591096312,47.54309640354709
14,24.013951026854183,15,0.022800000000000153,7296,scan_h_1,0.007108634827098115,47.55020503837419
15,24.080338795574168,16,0.04560000000000031,1562,scan_h_1,0.06638776871998431,47.61659280709417
16,24.152228723597414,17,0.019000000000001904,11807,scan_h_1,0.07188992802324634,47.68848273511742
17,24.18010857964386,18,0.04560000000000031,12438,scan_h_1,0.027879856046446605,47.716362591163865
18,24.201124694806698,19,0.019000000000001904,20529,scan_h_1,0.021016115162836968,47.7373787063267
19,24.206987510274647,20,0.011400000000001853,8887,scan_h_1,0.005862815467949645,47.74324152179465
20,24.24596865162064,21,0.015200000000000102,28017,scan_h_1,0.0389811413459924,47.782222663140644
21,24.295428003829667,22,0.04180000000000206,24455,scan_h_1,0.049459352209026974,47.83168201534967
22,24.68738651630967,23,0.07979999999999876,12299,scan_h_1,0.39195851248000224,48.22364052782967
23,25.196986756232253,24,0.07980000000000231,15252,scan_h_1,0.5096002399225839,48.73324076775226
24,27.879307380030962,25,0.07979999999999876,14847,scan_h_1,2.6823206237987094,51.415561391550966
25,0.0,1,0.003800000000001802,7402,scan_h_2,0.0,16.359937172094615
26,0.007748442093760133,2,0.003800000000001802,32178,scan_h_2,0.007748442093760133,16.367685614188375
27,0.06284844209372764,3,0.015200000000000102,8676,scan_h_2,0.05509999999996751,16.422785614188342
28,0.08448153550449078,4,0.007600000000000051,4668,scan_h_2,0.021633093410763138,16.444418707599105
29,7.1725304479002645,5,0.007600000000000051,10792,scan_h_2,7.088048912395774,23.53246761999488
30,8.645733326971225,6,0.049399999999998556,291,scan_h_2,1.4732028790709606,25.00567049906584
31,9.474166708925317,7,0.015200000000000102,3348,scan_h_2,0.8284333819540919,25.83410388101993
32,9.576454910460242,8,0.026600000000001955,5701,scan_h_2,0.10228820153492535,25.936392082554857
33,9.590047002558254,9,0.03420000000000201,1547,scan_h_2,0.013592092098011932,25.94998417465287
34,9.732923250222868,10,0.019000000000001904,17063,scan_h_2,0.1428762476646135,26.092860422317482
35,13.053176493949309,11,0.026599999999998403,26516,scan_h_2,3.320253243726441,29.413113666043923
36,14.21054772232602,12,0.01899999999999835,880,scan_h_2,1.1573712283767108,30.570484894420634
37,14.72722253999829,13,0.011400000000001853,12587,scan_h_2,0.5166748176722713,31.087159712092905
38,16.718638365345424,14,0.05320000000000036,660,scan_h_2,1.9914158253471328,33.07857553744004
39,20.818587650349247,15,0.022800000000000153,379,scan_h_2,4.099949285003824,37.17852482244386
40,20.825234056282124,16,0.030400000000000205,6427,scan_h_2,0.006646405932876576,37.18517122837674
41,23.593012463249938,17,0.003800000000001802,86,scan_h_2,2.767778406967814,39.95294963534455
42,23.744872904653743,18,0.011400000000001853,18974,scan_h_2,0.15186044140380517,40.10481007674836
43,23.966825639068066,19,0.04940000000000211,624,scan_h_2,0.22195273441432306,40.32676281116268
44,29.534934881644734,20,0.007600000000000051,7921,scan_h_2,5.568109242576668,45.89487205373935
45,29.55188872779858,21,0.003800000000001802,1142,scan_h_2,0.01695384615384654,45.911825899893195
46,29.629170742169467,22,0.007600000000000051,871,scan_h_2,0.077282014370887,45.98910791426408
47,29.663264027518284,23,0.5244,971,scan_h_2,0.03409328534881695,46.0232011996129
48,29.97730455534796,24,0.015200000000000102,22021,scan_h_2,0.3140405278296754,46.337241727442574
49,30.327064627324734,25,0.003800000000001802,14075,scan_h_2,0.3497600719767746,46.68700179941935
50,30.664784411394418,26,0.01899999999999835,5302,scan_h_2,0.3377197840696837,47.02472158348903
51,30.74208664961147,27,0.003800000000001802,2986,scan_h_2,0.07730223821705096,47.102023821706084
52,30.769229734949068,28,0.019000000000001904,3824,scan_h_2,0.027143085337598905,47.12916690704368
53,30.77864124577967,29,0.026599999999998403,24226,scan_h_2,0.009411510830602765,47.138578417874285
54,30.79592120465008,30,0.04560000000000031,2030,scan_h_2,0.017279958870410894,47.155858376744696
55,35.70358441139442,31,0.007600000000000051,25549,scan_h_2,4.907663206744331,52.06352158348903
56,36.03971750162414,32,0.007600000000000051,11133,scan_h_2,0.3361330902297297,52.39965467371876
57,36.666264987208606,33,0.09880000000000067,5468,scan_h_2,0.6265474855844602,53.02620215930322
