,semivariance,n_pairs,lag_bin
0,0.6046237491019604,2232,10.714285714285444
1,0.6639494000674115,4157,16.42857142857117
2,0.6741466716292838,3950,22.142857142856897
3,0.7135550369494984,7650,27.857142857142627
4,0.7725892742035969,7424,33.571428571428356
5,0.8270419182264368,5334,39.28571428571408
6,0.878708857111261,7859,44.99999999999981
7,0.9472494267858704,6277,50.71428571428554
8,0.9871147066229763,7030,56.42857142857127
9,1.0663389157357972,6316,62.142857142857
10,1.149828701185388,7631,67.85714285714272
11,1.219724029610271,5946,73.57142857142844
12,1.2591961540271808,5160,79.28571428571418
13,1.215913012085674,4464,84.9999999999999
14,1.2401848141210114,3714,90.71428571428564
15,1.2937455227688166,2919,96.42857142857136
16,1.2542788962675584,1976,102.14285714285708
17,1.2518249156331414,1747,107.85714285714282
18,1.260523007022753,870,113.57142857142854
19,1.4267651555518983,617,119.28571428571428
