,index,name,y_coord,x_midpoint,orig_length,masked_length,p10_masked
0,0,scan_h_1_seg_1,-0.9359999999999999,0.04590161160703415,0.05,0.05,0.0
1,1,scan_h_1_seg_2,-0.9359999999999999,0.09590161160703414,0.05,0.05,0.0
2,2,scan_h_1_seg_3,-0.9359999999999999,0.14590161160703416,0.05000000000000003,0.05000000000000003,0.0
3,3,scan_h_1_seg_4,-0.9359999999999999,0.19590161160703418,0.04999999999999999,0.04999999999999999,0.0
4,4,scan_h_1_seg_5,-0.9359999999999999,0.24590161160703417,0.04999999999999996,0.04999999999999996,0.0
5,5,scan_h_1_seg_6,-0.9359999999999999,0.29590161160703415,0.050000000000000044,0.050000000000000044,0.0
6,6,scan_h_1_seg_7,-0.9359999999999999,0.34590161160703414,0.04999999999999999,0.04999999999999999,0.0
7,7,scan_h_1_seg_8,-0.9359999999999999,0.3959016116070342,0.04999999999999999,0.04999999999999999,20.000000000000004
8,8,scan_h_1_seg_9,-0.9359999999999999,0.4459016116070341,0.04999999999999999,0.04999999999999999,0.0
9,9,scan_h_1_seg_10,-0.9359999999999999,0.49590161160703417,0.050000000000000044,0.050000000000000044,0.0
10,10,scan_h_1_seg_11,-0.9359999999999999,0.5459016116070342,0.050000000000000044,0.050000000000000044,0.0
11,11,scan_h_1_seg_12,-0.9359999999999999,0.5959016116070343,0.050000000000000044,0.050000000000000044,0.0
12,12,scan_h_1_seg_13,-0.9359999999999999,0.6459016116070342,0.04999999999999993,0.04999999999999993,0.0
13,13,scan_h_1_seg_14,-0.9359999999999999,0.6959016116070342,0.050000000000000044,0.050000000000000044,0.0
14,14,scan_h_1_seg_15,-0.9359999999999999,0.7459016116070343,0.04999999999999993,0.04999999999999993,0.0
15,15,scan_h_1_seg_16,-0.9359999999999999,0.7959016116070342,0.050000000000000044,0.050000000000000044,0.0
16,16,scan_h_1_seg_17,-0.9359999999999999,0.8459016116070343,0.050000000000000044,0.050000000000000044,0.0
17,17,scan_h_1_seg_18,-0.9359999999999999,0.8959016116070342,0.04999999999999993,0.04999999999999993,0.0
18,18,scan_h_1_seg_19,-0.9359999999999999,0.9459016116070342,0.050000000000000044,0.050000000000000044,0.0
19,0,scan_h_2_seg_1,-0.8859999999999999,0.04590161160703415,0.05,0.05,0.0
20,1,scan_h_2_seg_2,-0.8859999999999999,0.09590161160703414,0.05,0.05,0.0
21,2,scan_h_2_seg_3,-0.8859999999999999,0.14590161160703416,0.05000000000000003,0.05000000000000003,0.0
22,3,scan_h_2_seg_4,-0.8859999999999999,0.19590161160703418,0.04999999999999999,0.04999999999999999,0.0
23,4,scan_h_2_seg_5,-0.8859999999999999,0.24590161160703417,0.04999999999999996,0.04999999999999996,0.0
24,5,scan_h_2_seg_6,-0.8859999999999999,0.29590161160703415,0.050000000000000044,0.050000000000000044,0.0
25,6,scan_h_2_seg_7,-0.8859999999999999,0.34590161160703414,0.04999999999999999,0.04999999999999999,0.0
26,7,scan_h_2_seg_8,-0.8859999999999999,0.3959016116070342,0.04999999999999999,0.04999999999999999,0.0
27,8,scan_h_2_seg_9,-0.8859999999999999,0.4459016116070341,0.04999999999999999,0.04999999999999999,0.0
28,9,scan_h_2_seg_10,-0.8859999999999999,0.49590161160703417,0.050000000000000044,0.050000000000000044,0.0
29,10,scan_h_2_seg_11,-0.8859999999999999,0.5459016116070342,0.050000000000000044,0.050000000000000044,0.0
30,11,scan_h_2_seg_12,-0.8859999999999999,0.5959016116070343,0.050000000000000044,0.050000000000000044,0.0
31,12,scan_h_2_seg_13,-0.8859999999999999,0.6459016116070342,0.04999999999999993,0.04999999999999993,0.0
32,13,scan_h_2_seg_14,-0.8859999999999999,0.6959016116070342,0.050000000000000044,0.050000000000000044,0.0
33,14,scan_h_2_seg_15,-0.8859999999999999,0.7459016116070343,0.04999999999999993,0.04999999999999993,0.0
34,15,scan_h_2_seg_16,-0.8859999999999999,0.7959016116070342,0.050000000000000044,0.050000000000000044,0.0
35,16,scan_h_2_seg_17,-0.8859999999999999,0.8459016116070343,0.050000000000000044,0.050000000000000044,0.0
36,17,scan_h_2_seg_18,-0.8859999999999999,0.8959016116070342,0.04999999999999993,0.04999999999999993,0.0
37,18,scan_h_2_seg_19,-0.8859999999999999,0.9459016116070342,0.050000000000000044,0.050000000000000044,0.0
38,0,scan_h_3_seg_1,-0.8359999999999999,0.04590161160703415,0.05,0.05,0.0
39,1,scan_h_3_seg_2,-0.8359999999999999,0.09590161160703414,0.05,0.05,0.0
40,2,scan_h_3_seg_3,-0.8359999999999999,0.14590161160703416,0.05000000000000003,0.05000000000000003,0.0
41,3,scan_h_3_seg_4,-0.8359999999999999,0.19590161160703418,0.04999999999999999,0.04999999999999999,0.0
42,4,scan_h_3_seg_5,-0.8359999999999999,0.24590161160703417,0.04999999999999996,0.04999999999999996,0.0
43,5,scan_h_3_seg_6,-0.8359999999999999,0.29590161160703415,0.050000000000000044,0.050000000000000044,0.0
44,6,scan_h_3_seg_7,-0.8359999999999999,0.34590161160703414,0.04999999999999999,0.04999999999999999,0.0
45,7,scan_h_3_seg_8,-0.8359999999999999,0.3959016116070342,0.04999999999999999,0.04999999999999999,0.0
46,8,scan_h_3_seg_9,-0.8359999999999999,0.4459016116070341,0.04999999999999999,0.04999999999999999,20.000000000000004
47,9,scan_h_3_seg_10,-0.8359999999999999,0.49590161160703417,0.050000000000000044,0.050000000000000044,0.0
48,10,scan_h_3_seg_11,-0.8359999999999999,0.5459016116070342,0.050000000000000044,0.050000000000000044,59.99999999999995
