,name,x_coord,y_coord,orig_width,orig_height,orig_area,masked_width,masked_height,masked_area,masked_length,p20_masked,p21_masked
0,window_1,0.035,-0.965,0.05,0.050000000000000044,0.0025000000000000022,0.05,0.050000000000000044,0.0025000000000000022,0.20000000000000007,9999.99999999999,134.26446800638124
1,window_2,0.085,-0.965,0.05000000000000001,0.050000000000000044,0.0025000000000000027,0.05000000000000001,0.050000000000000044,0.0025000000000000027,0.20000000000000012,13999.999999999985,202.6674189872672
2,window_3,0.135,-0.965,0.04999999999999999,0.050000000000000044,0.002500000000000002,0.04999999999999999,0.050000000000000044,0.002500000000000002,0.20000000000000007,9199.999999999993,146.954626579376
3,window_4,0.18500000000000003,-0.965,0.04999999999999999,0.050000000000000044,0.002500000000000002,0.04999999999999999,0.050000000000000044,0.002500000000000002,0.20000000000000007,7999.9999999999945,114.07265679681187
4,window_5,0.23500000000000001,-0.965,0.04999999999999999,0.050000000000000044,0.002500000000000002,0.04999999999999999,0.050000000000000044,0.002500000000000002,0.20000000000000007,17199.99999999999,246.30609139433327
5,window_6,0.28500000000000003,-0.965,0.050000000000000044,0.050000000000000044,0.0025000000000000044,0.050000000000000044,0.050000000000000044,0.0025000000000000044,0.20000000000000018,17199.99999999997,244.52831078774986
6,window_7,0.3350000000000001,-0.965,0.050000000000000044,0.050000000000000044,0.0025000000000000044,0.050000000000000044,0.050000000000000044,0.0025000000000000044,0.20000000000000018,23999.999999999956,364.1214202474972
7,window_8,0.385,-0.965,0.050000000000000044,0.050000000000000044,0.0025000000000000044,0.050000000000000044,0.050000000000000044,0.0025000000000000044,0.20000000000000018,22799.99999999996,302.8702240246122
8,window_9,0.43500000000000005,-0.965,0.050000000000000044,0.050000000000000044,0.0025000000000000044,0.050000000000000044,0.050000000000000044,0.0025000000000000044,0.20000000000000018,15199.999999999973,202.11298402338676
9,window_10,0.485,-0.965,0.050000000000000044,0.050000000000000044,0.0025000000000000044,0.050000000000000044,0.050000000000000044,0.0025000000000000044,0.20000000000000018,6399.999999999989,82.09876093611535
10,window_11,0.535,-0.965,0.050000000000000044,0.050000000000000044,0.0025000000000000044,0.050000000000000044,0.050000000000000044,0.0025000000000000044,0.20000000000000018,3999.999999999993,55.54131650816201
11,window_12,0.5850000000000001,-0.965,0.050000000000000044,0.050000000000000044,0.0025000000000000044,0.050000000000000044,0.050000000000000044,0.0025000000000000044,0.20000000000000018,5999.999999999989,82.15028388837402
12,window_13,0.6350000000000001,-0.965,0.050000000000000044,0.050000000000000044,0.0025000000000000044,0.050000000000000044,0.050000000000000044,0.0025000000000000044,0.20000000000000018,8799.999999999985,109.20997349960282
13,window_14,0.685,-0.965,0.050000000000000044,0.050000000000000044,0.0025000000000000044,0.050000000000000044,0.050000000000000044,0.0025000000000000044,0.20000000000000018,9999.999999999982,120.57452445229944
14,window_15,0.7350000000000001,-0.965,0.050000000000000044,0.050000000000000044,0.0025000000000000044,0.050000000000000044,0.050000000000000044,0.0025000000000000044,0.20000000000000018,12399.999999999978,105.20000730504867
15,window_16,0.785,-0.965,0.050000000000000044,0.050000000000000044,0.0025000000000000044,0.050000000000000044,0.050000000000000044,0.0025000000000000044,0.20000000000000018,10799.999999999982,145.88799476028274
16,window_17,0.8350000000000001,-0.965,0.050000000000000044,0.050000000000000044,0.0025000000000000044,0.050000000000000044,0.050000000000000044,0.0025000000000000044,0.20000000000000018,4799.999999999992,47.987835246489325
17,window_18,0.8850000000000001,-0.965,0.050000000000000044,0.050000000000000044,0.0025000000000000044,0.050000000000000044,0.050000000000000044,0.0025000000000000044,0.20000000000000018,7599.999999999986,91.73689266252902
18,window_19,0.935,-0.965,0.050000000000000044,0.050000000000000044,0.0025000000000000044,0.050000000000000044,0.050000000000000044,0.0025000000000000044,0.20000000000000018,17199.99999999997,228.6768079182264
19,window_20,0.9850000000000001,-0.965,0.04999999999999993,0.050000000000000044,0.0024999999999999988,0.029999999999999916,0.050000000000000044,0.0014999999999999972,0.15999999999999992,12666.66666666669,149.2353964850349
20,window_21,0.035,-0.9149999999999999,0.05,0.050000000000000044,0.0025000000000000022,0.05,0.050000000000000044,0.0025000000000000022,0.20000000000000007,3999.9999999999964,37.743644036959786
21,window_22,0.085,-0.9149999999999999,0.05000000000000001,0.050000000000000044,0.0025000000000000027,0.05000000000000001,0.050000000000000044,0.0025000000000000027,0.20000000000000012,5199.9999999999945,48.32849654460573
22,window_23,0.135,-0.9149999999999999,0.04999999999999999,0.050000000000000044,0.002500000000000002,0.04999999999999999,0.050000000000000044,0.002500000000000002,0.20000000000000007,10799.999999999993,130.40863018194247
23,window_24,0.18500000000000003,-0.9149999999999999,0.04999999999999999,0.050000000000000044,0.002500000000000002,0.04999999999999999,0.050000000000000044,0.002500000000000002,0.20000000000000007,3199.9999999999977,33.472491627519176
24,window_25,0.23500000000000001,-0.9149999999999999,0.04999999999999999,0.050000000000000044,0.002500000000000002,0.04999999999999999,0.050000000000000044,0.002500000000000002,0.20000000000000007,6799.999999999995,87.39083525357559
25,window_26,0.28500000000000003,-0.9149999999999999,0.050000000000000044,0.050000000000000044,0.0025000000000000044,0.050000000000000044,0.050000000000000044,0.0025000000000000044,0.20000000000000018,2799.999999999995,38.53737524662614
26,window_27,0.3350000000000001,-0.9149999999999999,0.050000000000000044,0.050000000000000044,0.0025000000000000044,0.050000000000000044,0.050000000000000044,0.0025000000000000044,0.20000000000000018,7199.999999999987,97.25387887721166
