,semivariance,n_pairs,lag_bin,azimuth
0,0.15783696435372985,199,28.431372549019606,0
1,0.21485843665167056,271,47.86274509803921,0
2,0.23809743045843795,425,67.29411764705881,0
3,0.2832439250128806,535,86.72549019607843,0
4,0.33147806867222307,632,106.15686274509804,0
5,0.3996674024634264,739,125.58823529411764,0
6,0.45716136071789,786,145.01960784313724,0
7,0.5063001170189594,811,164.45098039215685,0
8,0.5895384718329444,1046,183.88235294117646,0
9,0.6151885259243596,1016,203.31372549019608,0
10,0.7259169572547062,1080,222.74509803921566,0
11,0.7134701423976648,1127,242.17647058823528,0
12,0.7433516179371967,1010,261.6078431372549,0
13,0.8449708378673811,989,281.0392156862745,0
14,0.8406288650074406,874,300.4705882352941,0
15,0.988560039190282,861,319.9019607843137,0
16,0.936658166492095,814,339.3333333333333,0
17,1.11863642647806,854,358.7647058823529,0
18,1.161954090680095,777,378.19607843137254,0
19,1.046823460366411,844,397.62745098039215,0
20,1.1422221265595476,789,417.0588235294117,0
21,1.2144923842152722,834,436.4901960784313,0
22,1.1090494051057838,804,455.92156862745094,0
23,1.0939081108301534,771,475.35294117647055,0
24,1.0916330674414332,835,494.78431372549016,0
25,1.2323045816932012,767,514.2156862745098,0
26,1.3034573161961838,756,533.6470588235294,0
27,1.236769204398642,747,553.078431372549,0
28,1.2466452312161709,728,572.5098039215686,0
29,1.2183824761653688,723,591.9411764705882,0
30,1.1829556210331016,709,611.3725490196078,0
31,1.1058966689221212,804,630.8039215686274,0
32,1.1721439796783053,716,650.235294117647,0
33,1.309195673295166,684,669.6666666666666,0
34,1.22664343893288,741,689.0980392156862,0
35,1.1818132796693188,672,708.5294117647059,0
36,1.1596381607807849,612,727.9607843137254,0
37,0.9572913045008943,582,747.3921568627451,0
38,0.9287996365597245,536,766.8235294117646,0
39,0.9874275826680916,517,786.2549019607843,0
40,0.7854225717868003,519,805.6862745098039,0
41,0.7957444342436052,442,825.1176470588234,0
42,0.8153995059303882,404,844.5490196078431,0
43,0.7177681105755194,396,863.9803921568626,0
44,0.5867862505017075,358,883.4117647058823,0
45,0.7280552414399979,317,902.8431372549019,0
46,0.6208914661772188,254,922.2745098039215,0
47,0.5425739602199562,252,941.7058823529411,0
48,0.5284349889984393,182,961.1372549019607,0
49,0.7246157933458708,142,980.5686274509803,0
50,0.11556719571500104,139,20.58823529411765,45
51,0.21156743960244004,226,40.1764705882353,45
52,0.2532240633047836,364,59.76470588235294,45
53,0.2635042466146308,524,79.3529411764706,45
54,0.3373595278197382,690,98.94117647058825,45
55,0.4172675163583518,677,118.52941176470588,45
56,0.45885418619962925,785,138.11764705882354,45
57,0.5037760836373004,793,157.7058823529412,45
58,0.6097581147135043,1025,177.29411764705884,45
59,0.6406061118465163,1060,196.8823529411765,45
60,0.7575554432100459,1100,216.47058823529414,45
61,0.7866520453887512,1072,236.05882352941177,45
62,0.7926965892492082,1085,255.64705882352942,45
63,0.9062918097288959,967,275.2352941176471,45
64,0.8588081181961247,965,294.82352941176475,45
65,1.0450804444605295,915,314.4117647058824,45
66,0.9288253346536085,785,334.0,45
67,1.0710622632543005,877,353.5882352941177,45
68,1.1630753008415415,848,373.1764705882353,45
69,1.1166294023400403,783,392.764705882353,45
70,1.0856522556406842,857,412.3529411764706,45
71,1.1662085692804918,824,431.9411764705883,45
72,1.1218404337824088,837,451.5294117647059,45
73,1.0867054161409293,715,471.11764705882354,45
74,1.054964307711112,802,490.7058823529412,45
75,1.126103217278705,765,510.29411764705884,45
76,1.1928314891842329,781,529.8823529411765,45
77,1.3034346072009786,703,549.4705882352941,45
78,1.1263158408563427,726,569.0588235294118,45
79,1.10002499857327,757,588.6470588235295,45
80,1.055695790731297,676,608.2352941176471,45
81,1.0522661252300753,724,627.8235294117648,45
82,1.0845584864934197,667,647.4117647058824,45
83,1.1815304491152145,693,667.0,45
84,1.132653546668915,662,686.5882352941177,45
85,1.0845857767600169,639,706.1764705882354,45
86,1.0860542109610958,618,725.764705882353,45
87,0.9791912071505811,527,745.3529411764706,45
88,0.8418017326133843,553,764.9411764705883,45
89,1.035360798869734,498,784.529411764706,45
90,0.869525712542653,460,804.1176470588235,45
91,0.8321680886739397,421,823.7058823529412,45
92,0.8160216214426494,382,843.2941176470589,45
93,0.8302050848372704,354,862.8823529411766,45
94,0.664499050645242,350,882.4705882352941,45
95,0.7094411580880272,271,902.0588235294118,45
96,0.6243382853721744,250,921.6470588235295,45
97,0.7228292532834995,254,941.2352941176471,45
98,0.5545210345674423,183,960.8235294117648,45
99,0.5508508319978832,141,980.4117647058824,45
100,0.11960928985181321,150,20.58823529411765,90
101,0.20633785198442778,241,40.1764705882353,90
102,0.24434010360065594,361,59.76470588235294,90
103,0.2582059458418175,517,79.3529411764706,90
104,0.3213568481665605,699,98.94117647058825,90
105,0.4360112324614072,678,118.52941176470588,90
106,0.4565990026668393,794,138.11764705882354,90
107,0.4835944068331798,806,157.7058823529412,90
108,0.5914160003531707,1031,177.29411764705884,90
109,0.6313846021136037,1071,196.8823529411765,90
110,0.7251060066628304,1106,216.47058823529414,90
111,0.7200319276020412,1069,236.05882352941177,90
112,0.7801162531695632,1110,255.64705882352942,90
113,0.8645856856637323,991,275.2352941176471,90
114,0.8482739341573298,921,294.82352941176475,90
115,1.0002857634074303,928,314.4117647058824,90
116,0.9425963166307674,816,334.0,90
117,1.09352733581145,900,353.5882352941177,90
118,1.1306221666332514,853,373.1764705882353,90
119,1.1930050594117545,826,392.764705882353,90
120,1.1142149069425047,890,412.3529411764706,90
